Validation_FA_Cap,Model,Seed,Selected_Threshold,Val_FA_Rate(%),Test_Pd(%),Test_FA_Rate(%)
0.1,98D Logistic Regression,0,0.9266264004207379,10.130718954248366,92.69005847953217,12.573099415204677
0.1,Shared Linear Classifier (7D),0,0.6156023144721985,10.130718954248366,42.98245614035088,12.426900584795321
0.1,Shared MLP Classifier (7D-32),0,0.9211955070495605,10.130718954248366,45.614035087719294,13.011695906432749
0.05,98D Logistic Regression,0,0.9531926382415244,5.065359477124183,89.91228070175438,5.847953216374268
0.05,Shared Linear Classifier (7D),0,0.7154908776283264,5.065359477124183,36.69590643274854,5.994152046783626
0.05,Shared MLP Classifier (7D-32),0,0.9563900828361511,5.065359477124183,40.78947368421053,7.602339181286549
0.02,98D Logistic Regression,0,0.978927568171061,2.1241830065359477,85.52631578947368,1.7543859649122806
0.02,Shared Linear Classifier (7D),0,0.7836171388626099,2.1241830065359477,31.871345029239766,2.1929824561403506
0.02,Shared MLP Classifier (7D-32),0,0.9803822040557861,2.1241830065359477,33.62573099415205,3.8011695906432745
0.01,98D Logistic Regression,0,0.9867074412355237,1.1437908496732025,81.14035087719299,1.023391812865497
0.01,Shared Linear Classifier (7D),0,0.8778649568557739,1.1437908496732025,23.538011695906434,0.7309941520467835
0.01,Shared MLP Classifier (7D-32),0,0.9864342212677002,1.1437908496732025,30.994152046783626,2.7777777777777777
0.005,98D Logistic Regression,0,0.9904063879272453,0.6535947712418301,76.90058479532163,0.7309941520467835
0.005,Shared Linear Classifier (7D),0,0.9243527054786682,0.6535947712418301,21.34502923976608,0.43859649122807015
0.005,Shared MLP Classifier (7D-32),0,0.9892756342887878,0.6535947712418301,28.947368421052634,2.3391812865497075
0.1,98D Logistic Regression,1,0.9266264004207379,10.130718954248366,92.69005847953217,12.573099415204677
0.1,Shared Linear Classifier (7D),1,0.6146782040596008,10.130718954248366,43.12865497076023,12.719298245614036
0.1,Shared MLP Classifier (7D-32),1,0.8821409344673157,10.130718954248366,57.01754385964912,11.695906432748536
0.05,98D Logistic Regression,1,0.9531926382415244,5.065359477124183,89.91228070175438,5.847953216374268
0.05,Shared Linear Classifier (7D),1,0.7157722115516663,5.065359477124183,36.84210526315789,6.140350877192982
0.05,Shared MLP Classifier (7D-32),1,0.9389288425445557,5.065359477124183,48.68421052631579,5.701754385964912
0.02,98D Logistic Regression,1,0.978927568171061,2.1241830065359477,85.52631578947368,1.7543859649122806
0.02,Shared Linear Classifier (7D),1,0.783708930015564,2.1241830065359477,31.725146198830412,2.1929824561403506
0.02,Shared MLP Classifier (7D-32),1,0.9629426598548889,2.1241830065359477,42.83625730994152,3.9473684210526314
0.01,98D Logistic Regression,1,0.9867074412355237,1.1437908496732025,81.14035087719299,1.023391812865497
0.01,Shared Linear Classifier (7D),1,0.8778985738754272,1.1437908496732025,23.538011695906434,0.7309941520467835
0.01,Shared MLP Classifier (7D-32),1,0.9752307534217834,1.1437908496732025,36.98830409356725,2.923976608187134
0.005,98D Logistic Regression,1,0.9904063879272453,0.6535947712418301,76.90058479532163,0.7309941520467835
0.005,Shared Linear Classifier (7D),1,0.9262487292289734,0.6535947712418301,21.198830409356724,0.43859649122807015
0.005,Shared MLP Classifier (7D-32),1,0.9835445284843445,0.6535947712418301,34.06432748538012,2.1929824561403506
0.1,98D Logistic Regression,42,0.9266264004207379,10.130718954248366,92.69005847953217,12.573099415204677
0.1,Shared Linear Classifier (7D),42,0.6174697279930115,10.130718954248366,42.98245614035088,11.988304093567251
0.1,Shared MLP Classifier (7D-32),42,0.8179081678390503,10.130718954248366,58.77192982456141,12.134502923976607
0.05,98D Logistic Regression,42,0.9531926382415244,5.065359477124183,89.91228070175438,5.847953216374268
0.05,Shared Linear Classifier (7D),42,0.7174795269966125,5.065359477124183,36.84210526315789,6.140350877192982
0.05,Shared MLP Classifier (7D-32),42,0.8805320858955383,5.065359477124183,52.77777777777778,7.602339181286549
0.02,98D Logistic Regression,42,0.978927568171061,2.1241830065359477,85.52631578947368,1.7543859649122806
0.02,Shared Linear Classifier (7D),42,0.7878614068031311,2.1241830065359477,31.432748538011694,2.046783625730994
0.02,Shared MLP Classifier (7D-32),42,0.9371813535690308,2.1241830065359477,42.98245614035088,3.9473684210526314
0.01,98D Logistic Regression,42,0.9867074412355237,1.1437908496732025,81.14035087719299,1.023391812865497
0.01,Shared Linear Classifier (7D),42,0.8759286999702454,1.1437908496732025,24.12280701754386,0.8771929824561403
0.01,Shared MLP Classifier (7D-32),42,0.9518169164657593,1.1437908496732025,40.78947368421053,2.923976608187134
0.005,98D Logistic Regression,42,0.9904063879272453,0.6535947712418301,76.90058479532163,0.7309941520467835
0.005,Shared Linear Classifier (7D),42,0.9321537613868713,0.6535947712418301,20.175438596491226,0.29239766081871343
0.005,Shared MLP Classifier (7D-32),42,0.9710269570350647,0.6535947712418301,34.50292397660819,1.608187134502924
0.1,SA-RGB Detector,0,0.71,9.64052287581699,82.89473684210526,7.602339181286539
0.1,SA-RGB Detector,1,0.77,9.64052287581699,96.92982456140352,15.204678362573091
0.1,SA-RGB Detector,42,0.88,8.8235294117647,90.93567251461988,11.695906432748531
0.05,SA-RGB Detector,0,0.8,4.90196078431372,74.70760233918129,3.07017543859649
0.05,SA-RGB Detector,1,0.92,4.90196078431372,95.17543859649122,8.47953216374269
0.05,SA-RGB Detector,42,0.91,4.0849673202614305,84.94152046783626,7.7485380116959
0.02,SA-RGB Detector,0,0.84,1.79738562091503,68.56725146198829,1.31578947368421
0.02,SA-RGB Detector,1,0.97,0.65359477124183,76.31578947368422,1.6081871345029202
0.02,SA-RGB Detector,42,0.93,1.30718954248366,77.92397660818715,4.3859649122807
0.01,SA-RGB Detector,0,0.88,0.65359477124183,61.25730994152047,0.43859649122807
0.01,SA-RGB Detector,1,0.97,0.65359477124183,76.31578947368422,1.6081871345029202
0.01,SA-RGB Detector,42,0.95,0.32679738562091,61.69590643274854,1.16959064327485
