method,n_runs,ceiling_threshold_pct,ceiling_count,ceiling_rate_pct,worst_run_pct,p05_pct,mean_pct,std_pct
SA-RGB,15,99.0,13,86.666667,95.383733,97.773058,99.177259,1.064878
Learned 7-to-3,15,99.0,3,20.000000,83.463453,87.369557,95.860189,4.453448
