model,seed,val_cap,threshold,val_images,val_TP,val_FP,test_images,test_TP,test_FN,test_FP,test_Pd,test_FPPI,test_AP50,test_AP50_95
direct7_lite,0,0.001,0.7369171380996704,1800,1795,1,1200,1168,32,19,0.9733333333333334,0.015833333333333335,0.9941309987894311,0.9941309987894312
direct7_lite,0,0.01,0.14649812877178192,1800,1799,6,1200,1197,3,47,0.9975,0.03916666666666667,0.9941309987894311,0.9941309987894312
direct7_lite,1,0.001,0.5125793814659119,1800,1789,1,1200,1120,80,5,0.9333333333333333,0.004166666666666667,0.987683035145464,0.987683035145464
direct7_lite,1,0.01,0.16016235947608948,1800,1793,14,1200,1145,55,23,0.9541666666666667,0.019166666666666665,0.987683035145464,0.987683035145464
direct7_lite,42,0.001,0.40059420466423035,1800,1798,1,1200,1188,12,11,0.99,0.009166666666666667,0.9948829859298042,0.9948829859298043
direct7_lite,42,0.01,0.25803831219673157,1800,1800,5,1200,1191,9,16,0.9925,0.013333333333333334,0.9948829859298042,0.9948829859298043
